City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Latitude,Longitude,Max Temperature
camacha,pt,40,1531692000,72,,,,4.6,33.08,-16.33,21.0
viru,pe,90,1531692000,82,,,,3.6,-8.42,-78.75,18.0
inderborskiy,kz,,,,,,,,,,
mirador,br,0,1531693648,34,,,,2.66,-6.37,-44.36,30.04
ushuaia,ar,20,1531688400,69,,,,6.7,-54.81,-68.31,2.0
manama,bh,0,1531692000,49,,,,4.1,26.22,50.58,34.0
rangpur,bd,92,1531693648,97,,,,3.96,25.76,89.24,25.14
jamestown,sh,88,1531693648,97,,,,9.16,-15.94,-5.72,21.44
kupang,id,12,1531693649,100,,,,4.11,-10.16,123.6,22.74
mahebourg,mu,20,1531692000,88,,,,3.6,-20.41,57.7,18.0
casper,us,1,1531691580,37,,,,2.6,42.87,-106.31,28.0
butaritari,ki,80,1531693649,100,,,,2.36,3.07,172.79,26.19
thompson,ca,90,1531692000,93,,,,1,55.74,-97.86,13.0
carnarvon,au,0,1531693649,100,,,,4.91,-24.87,113.63,15.59
umzimvubu,za,,,,,,,,,,
new norfolk,au,75,1531692000,80,,,,4.1,-42.78,147.06,5.0
zelenoborskiy,ru,36,1531693650,79,,,,0.96,66.84,32.36,16.74
bow island,ca,40,1531692000,24,,,,3.6,49.87,-111.38,28.0
saskylakh,ru,32,1531693650,63,,,,4.46,71.97,114.09,7.49
axim,gh,92,1531693650,98,,,,5.26,4.87,-2.24,25.24
mount gambier,au,92,1531693650,93,,,,3.56,-37.83,140.78,9.69
narsaq,gl,24,1531691400,44,,,,3.1,60.91,-46.05,15.0
nikolskoye,ru,0,1531692000,77,,,,1.16,59.7,30.79,18.0
saldanha,za,12,1531692000,61,,,,3.1,-33.01,17.94,10.0
shatrovo,ru,0,1531690200,77,,,,2.86,54.95,61.75,16.0
rikitea,pf,100,1531693651,100,,,,2.86,-23.12,-134.97,19.19
aldan,ru,12,1531693651,96,,,,1.46,58.61,125.39,12.74
severo-kurilsk,ru,80,1531693651,92,,,,2.81,50.68,156.12,10.49
corrente,br,12,1531693652,47,,,,3.16,-17.45,-44.68,22.24
encinitas,us,1,1531691760,78,,,,3.6,33.04,-117.29,32.0
kaniama,cd,0,1531693652,33,,,,2.66,-7.57,24.18,20.99
abha,sa,40,1531692000,31,,,,2.1,18.22,42.5,25.0
makakilo city,us,90,1531691820,58,,,,3.6,21.35,-158.09,31.0
punta arenas,cl,0,1531692000,92,,,,4.1,-53.16,-70.91,-1.0
taolanaro,mg,,,,,,,,,,
adrar,dz,0,1531692000,9,,,,5.1,27.87,-0.29,36.0
bandarbeyla,so,0,1531693653,82,,,,13.46,9.49,50.81,26.09
okhotsk,ru,88,1531693653,100,,,,2.11,59.36,143.24,11.44
gidam,in,92,1531693653,99,,,,2.86,18.98,81.4,21.49
barrow,us,40,1531691700,70,,,,2.66,39.51,-90.4,32.0
dunedin,nz,80,1531693403,93,,,,6.11,-45.87,170.5,7.74
bambous virieux,mu,20,1531692000,88,,,,3.6,-20.34,57.76,18.0
cayenne,gf,0,1531692000,78,,,,2.1,4.94,-52.33,27.0
kapaa,us,75,1531691760,78,,,,6.2,22.08,-159.32,29.0
pangnirtung,ca,92,1531693654,100,,,,0.26,66.15,-65.72,8.09
port elizabeth,za,0,1531692060,87,,,,1.5,-33.92,25.57,9.0
illoqqortoormiut,gl,,,,,,,,,,
hithadhoo,mv,92,1531693654,100,,,,2.56,-0.6,73.08,24.69
bella vista,py,20,1531692000,65,,,,1.5,-27.04,-55.58,27.0
cazaje,ao,,,,,,,,,,
bathsheba,bb,20,1531692000,78,,,,7.2,13.22,-59.52,27.0
margate,za,48,1531693655,100,,,,2.81,-30.86,30.37,13.79
joshimath,in,88,1531693655,100,,,,0.41,30.57,79.57,1.39
kindu,cd,68,1531693655,42,,,,1.21,-2.95,25.92,27.54
qaanaaq,gl,92,1531693655,98,,,,2.11,77.48,-69.36,1.34
sao lourenco do sul,br,90,1531691100,87,,,,4.6,-31.37,-51.98,16.0
kang,bw,88,1531693656,36,,,,6.31,-23.67,22.79,17.84
oranjestad,aw,20,1531692000,74,,,,9.3,12.52,-70.03,29.0
pevek,ru,88,1531693656,100,,,,3.76,69.7,170.27,1.84
alofi,nu,92,1531692000,83,,,,5.7,-19.06,-169.92,26.0
victoria,sc,64,1531692000,78,,,,2.6,-4.62,55.45,25.0
necochea,ar,44,1531693656,78,,,,3.46,-38.55,-58.74,8.84
oskemen,kz,75,1531692000,100,,,,2,49.96,82.61,17.0
samusu,ws,,,,,,,,,,
provideniya,ru,90,1531692000,87,,,,3,64.42,-173.23,9.0
busselton,au,80,1531693657,100,,,,12.96,-33.64,115.35,16.89
cherskiy,ru,12,1531693657,62,,,,1.26,68.75,161.3,8.34
mount isa,au,0,1531692000,42,,,,1.5,-20.73,139.49,7.0
ponta do sol,cv,0,1531693657,99,,,,7.21,17.2,-25.09,23.79
izmit,tr,0,1531691400,100,,,,0.86,40.76,29.93,22.0
kaeo,nz,8,1531693658,96,,,,4.46,-35.1,173.78,11.89
lensk,ru,8,1531693658,96,,,,1.06,60.71,114.91,12.84
kupino,ru,24,1531693658,74,,,,6.96,54.36,77.31,20.14
vanimo,pg,76,1531693658,100,,,,4.01,-2.67,141.3,28.19
vaitupu,wf,,,,,,,,,,
tucuma,br,,,,,,,,,,
padang,id,20,1531693659,100,,,,3.66,-0.92,100.36,27.64
presidencia roque saenz pena,ar,88,1531693659,52,,,,2.31,-26.79,-60.44,28.44
carndonagh,ie,64,1531693659,100,,,,2.66,55.25,-7.27,15.04
arraial do cabo,br,0,1531692000,83,,,,4.1,-22.97,-42.02,27.0
tuktoyaktuk,ca,75,1531692000,49,,,,4.6,69.44,-133.03,21.0
georgetown,sh,44,1531693660,100,,,,6.81,-7.93,-14.42,25.39
berdigestyakh,ru,92,1531693660,59,,,,2.51,62.1,126.7,14.64
hervey bay,au,80,1531693660,100,,,,2.96,-25.3,152.85,15.59
tazovskiy,ru,64,1531693660,51,,,,4.86,67.47,78.7,18.99
castro,cl,64,1531693660,81,,,,1.41,-42.48,-73.76,8.39
constitucion,mx,75,1531690860,24,,,,3.6,23.99,-104.67,28.0
port-gentil,ga,90,1531692000,83,,,,5.1,-0.72,8.78,24.0
ewa beach,us,90,1531691820,58,,,,3.6,21.32,-158.01,31.0
zirgan,ru,8,1531693661,70,,,,3.46,53.22,55.92,20.24
sao filipe,cv,8,1531693661,92,,,,2.96,14.9,-24.5,25.84
pontianak,id,48,1531693661,90,,,,3.21,-0.02,109.34,26.39
khatanga,ru,12,1531693661,65,,,,5.81,71.98,102.47,10.09
avarua,ck,88,1531693662,100,,,,9.41,-21.21,-159.78,23.24
nikel,ru,90,1531691400,93,,,,3.1,69.41,30.22,11.0
klaksvik,fo,40,1531691400,93,,,,5.1,62.23,-6.59,11.0
matane,ca,75,1531692000,69,,,,3.1,48.83,-67.52,23.0
nanortalik,gl,56,1531693662,88,,,,1.86,60.14,-45.24,5.44
touros,br,20,1531693662,78,,,,7.71,-5.2,-35.46,26.09
trincomalee,lk,80,1531693663,77,,,,8.36,8.58,81.23,26.44
katsuura,jp,75,1531690200,100,,,,1.5,33.93,134.5,26.0
shahdadkot,pk,80,1531693663,77,,,,1.21,27.85,67.91,30.74
erzin,ru,92,1531693663,99,,,,0.96,50.26,95.16,12.89
coahuayana,mx,12,1531693663,48,,,,1.41,18.62,-100.35,29.44
kieta,pg,92,1531693663,100,,,,2.61,-6.22,155.63,23.79
dujuma,so,,,,,,,,,,
inverness,ca,40,1531692000,65,,,,4.1,46.26,-71.52,26.0
grindavik,is,90,1531690200,100,,,,2.6,63.84,-22.43,10.0
yichang,cn,0,1531693664,87,,,,2.11,30.77,111.32,25.64
noumea,nc,75,1531692000,88,,,,1,-22.28,166.46,19.0
uruguaiana,br,44,1531692000,78,,,,2.6,-29.77,-57.08,23.0
le vauclin,mq,100,1531692000,74,,,,5.1,14.55,-60.84,28.0
chuy,uy,92,1531693434,82,,,,6.41,-33.69,-53.46,12.14
simoes,br,0,1531693665,36,,,,3.01,-7.6,-40.82,27.09
kavaratti,in,92,1531693665,100,,,,12.21,10.57,72.64,27.19
manado,id,20,1531692000,69,,,,2.6,1.49,124.85,26.0
santa lucia,es,20,1531692000,73,,,,10.3,27.91,-15.54,21.0
ndele,cf,56,1531693665,84,,,,4.01,8.41,20.65,22.89
atuona,pf,0,1531693665,100,,,,8.51,-9.8,-139.03,26.24
khor,qa,,,,,,,,,,
pisco,pe,90,1531692000,82,,,,3.1,-13.71,-76.2,18.0
homer,us,40,1531691580,93,,,,1.5,59.64,-151.54,12.0
cidreira,br,36,1531693666,89,,,,2.31,-30.17,-50.22,18.24
tomatlan,mx,24,1531693666,77,,,,1.66,19.93,-105.25,29.29
omsukchan,ru,0,1531693666,74,,,,1.61,62.53,155.8,13.54
port lincoln,au,20,1531693487,98,,,,7.76,-34.72,135.86,12.49
puerto ayora,ec,75,1531692000,57,,,,6.7,-0.74,-90.35,26.0
karkaralinsk,kz,,,,,,,,,,
mildura,au,32,1531693667,64,,,,6.36,-34.18,142.16,8.24
dasoguz,tm,0,1531690200,39,,,,4.1,41.84,59.97,27.0
agva,tr,,,,,,,,,,
sioux lookout,ca,20,1531692000,36,,,,5.1,50.1,-91.92,26.0
cape town,za,0,1531692000,71,,,,2.6,-33.93,18.42,10.0
candido mota,br,20,1531693667,33,,,,2.41,-22.75,-50.39,26.39
feicheng,cn,88,1531693668,83,,,,2.96,36.18,116.77,27.04
sept-iles,ca,90,1531692000,82,,,,2.1,50.2,-66.38,18.0
trstena,sk,75,1531692000,82,,,,2.6,49.36,19.61,16.0
khash,ir,8,1531693668,18,,,,1.31,28.22,61.21,21.64
mehamn,no,40,1531691400,81,,,,1,71.03,27.85,12.0
la romana,do,75,1531692000,66,,,,4.1,18.43,-68.97,30.0
kodiak,us,1,1531691580,46,,,,2.41,39.95,-94.76,33.0
stawell,au,92,1531693669,89,,,,5.86,-37.06,142.77,5.19
santa maria,cv,40,1531692000,78,,,,7.2,16.6,-22.9,24.0
srednekolymsk,ru,88,1531693669,76,,,,1.51,67.46,153.71,12.24
woodward,us,90,1531691700,61,,,,4.1,36.43,-99.39,30.0
promysla,ru,,,,,,,,,,
tabou,ci,92,1531693670,100,,,,6.26,4.42,-7.36,24.34
airai,pw,,,,,,,,,,
mar del plata,ar,0,1531693670,99,,,,1.26,-46.43,-67.52,-0.16
belushya guba,ru,,,,,,,,,,
mandalgovi,mn,0,1531693670,90,,,,1.96,45.76,106.27,12.24
general roca,ar,0,1531688400,43,,,,2.1,-39.03,-67.58,13.0
volkhov,ru,0,1531693670,78,,,,1.06,59.92,32.34,19.74
mont-dore,nc,75,1531692000,88,,,,1,-22.23,166.53,19.0
urengoy,ru,44,1531693671,77,,,,2.56,65.96,78.37,16.14
ribeira grande,pt,20,1531692000,72,,,,3.1,38.52,-28.7,20.0
cap malheureux,mu,20,1531692000,88,,,,3.6,-19.98,57.61,18.0
ilulissat,gl,75,1531691400,81,,,,4.1,69.22,-51.1,6.0
mys shmidta,ru,,,,,,,,,,
kamenskoye,ru,,,,,,,,,,
ayan,ru,,,,,,,,,,
mohgaon,in,56,1531693672,96,,,,2.76,21.65,78.72,24.14
anadyr,ru,40,1531692000,72,,,,9,64.73,177.51,16.0
rehoboth,na,92,1531693672,31,,,,6.01,-23.31,17.08,16.29
lebu,cl,8,1531693672,100,,,,3.41,-37.62,-73.65,11.19
drumnadrochit,gb,20,1531691400,93,,,,0.5,57.34,-4.48,19.0
tiksi,ru,8,1531693673,75,,,,0.96,71.64,128.87,5.44
ancud,cl,36,1531693673,95,,,,1.21,-41.87,-73.83,7.99
palmas,br,0,1531688400,40,,,,1,-10.18,-48.33,31.0
rungata,ki,,,,,,,,,,
port hedland,au,0,1531692000,62,,,,3.1,-20.31,118.58,12.0
yaan,cn,,,,,,,,,,
boa vista,br,40,1531692000,66,,,,2.1,2.82,-60.67,29.0
yagodnoye,ru,0,1531693674,46,,,,1.81,62.52,149.63,18.34
rennes,fr,0,1531692000,77,,,,2.6,48.11,-1.68,17.0
dana point,us,1,1531691880,69,,,,3.1,33.47,-117.7,37.0
ostrow mazowiecka,pl,64,1531693674,95,,,,3.06,52.8,21.9,16.89
oyama,jp,75,1531688940,94,,,,0.5,36.31,139.8,26.0
chipinge,zw,92,1531693675,93,,,,5.46,-20.19,32.62,13.79
denpasar,id,20,1531690200,73,,,,3.6,-8.65,115.22,25.0
port blair,in,92,1531693675,100,,,,11.01,11.67,92.75,27.39
santa eulalia del rio,es,,,,,,,,,,
saint george,bm,75,1531691700,61,,,,6.2,32.38,-64.68,26.0
avera,pf,,,,,,,,,,
rudbar,af,0,1531693675,17,,,,1.51,30.15,62.6,26.99
kasungu,mw,36,1531693676,65,,,,4.91,-13.04,33.48,15.74
harper,lr,88,1531693676,100,,,,6.66,4.38,-7.71,24.49
saint anthony,ca,,,,,,,,,,
nortelandia,br,44,1531693676,70,,,,1.86,-14.45,-56.8,27.24
lompoc,us,1,1531691760,68,,,,6.2,34.64,-120.46,27.0
taoudenni,ml,0,1531693676,10,,,,3.46,22.68,-3.98,32.29
richards bay,za,48,1531693676,84,,,,4.51,-28.77,32.06,13.89
chagoda,ru,0,1531693677,88,,,,1.11,59.16,35.33,18.39
pontes e lacerda,br,32,1531693677,68,,,,2.21,-15.23,-59.33,27.54
georgiyevka,kz,92,1531693677,58,,,,1.06,43.04,74.71,20.74
goderich,sl,,,,,,,,,,
aklavik,ca,75,1531692000,46,,,,3.1,68.22,-135.01,22.0
zhangzhou,cn,75,1531688400,69,,,,4,24.51,117.65,28.0
portland,au,0,1531693677,78,,,,2.16,-33.35,149.98,-1.41
freeport,bs,75,1531692000,66,,,,1.86,26.54,-78.7,31.0
monte patria,cl,0,1531693678,78,,,,0.71,-30.69,-70.96,11.94
gamboma,cg,36,1531693678,81,,,,2.31,-1.87,15.88,23.04
russell,nz,8,1531693678,96,,,,4.46,-35.26,174.12,11.89
ormara,pk,36,1531693678,94,,,,6.01,25.21,64.64,28.24
rockland,ca,40,1531692000,24,,,,3.1,45.55,-75.29,32.0
ajdabiya,ly,0,1531693679,48,,,,6.11,30.75,20.22,26.84
bethel,us,90,1531692360,66,,,,6.2,60.79,-161.76,13.0
jega,ng,64,1531693679,83,,,,2.11,12.22,4.38,25.89
ruteng,id,0,1531693680,96,,,,1.31,-8.61,120.46,16.29
grand forks,ca,20,1531692000,8,,,,1.5,49.03,-118.46,32.0
chapleau,ca,75,1531692000,42,,,,4.6,47.85,-83.4,29.0
sur,om,12,1531693680,78,,,,4.51,22.57,59.53,32.59
norman wells,ca,75,1531692000,68,,,,2.6,65.28,-126.83,18.0
dunda,tz,0,1531693680,70,,,,5.01,-8.12,34.25,17.24
nantucket,us,90,1531692960,100,,,,2.6,41.28,-70.1,25.0
santa isabel,us,,,,,,,,,,
san patricio,mx,20,1531691880,66,,,,5.1,19.22,-104.7,32.0
dingle,ie,92,1531693681,100,,,,5.71,52.14,-10.27,15.34
saleaula,ws,,,,,,,,,,
dmitriyevka,ru,48,1531693681,44,,,,4.01,54.05,40.44,25.09
betioky,mg,,,,,,,,,,
baruun-urt,mn,88,1531693681,99,,,,2.21,46.68,113.28,16.89
seydi,tm,0,1531693682,21,,,,5.61,39.48,62.91,30.24
fare,pf,92,1531693682,100,,,,6.36,-16.7,-151.02,24.84
kahului,us,40,1531691760,55,,,,7.7,20.89,-156.47,31.0
ola,ru,90,1531692000,93,,,,1.66,59.58,151.3,10.0
yumen,cn,0,1531693682,39,,,,3.41,40.29,97.04,17.59
kenai,us,75,1531691760,59,,,,3.1,60.55,-151.26,16.0
finnsnes,no,92,1531691400,77,,,,3.6,69.23,17.98,15.0
souillac,mu,20,1531692000,88,,,,3.6,-20.52,57.52,18.0
razdolinsk,ru,0,1531693683,70,,,,2.11,58.42,94.62,12.14
amderma,ru,,,,,,,,,,
smidovich,ru,88,1531693683,99,,,,1.51,48.6,133.81,19.39
gueugnon,fr,0,1531692000,72,,,,1.5,46.6,4.06,17.0
san cristobal,ec,56,1531693683,88,,,,1.06,-1.02,-79.44,20.39
utena,lt,32,1531693684,85,,,,3.36,55.5,25.6,19.34
mugur-aksy,ru,76,1531693684,100,,,,0.86,50.38,90.44,6.49
iwanai,jp,92,1531693684,97,,,,1.86,42.97,140.51,16.64
faya,td,,,,,,,,,,
rawson,ar,92,1531693684,70,,,,2.01,-43.3,-65.11,5.64
teeli,ru,8,1531693684,97,,,,1.51,51.01,90.2,9.04
gat,ly,,,,,,,,,,
meyungs,pw,,,,,,,,,,
pangody,ru,56,1531693685,59,,,,4.66,65.85,74.49,18.74
manikchhari,bd,,,,,,,,,,
nsanje,mw,56,1531693685,82,,,,2.41,-16.92,35.26,17.29
grand centre,ca,,,,,,,,,,
maniitsoq,gl,48,1531693685,97,,,,1.56,65.42,-52.9,11.54
arcelia,mx,12,1531693685,48,,,,1.41,18.32,-100.28,29.44
tuatapere,nz,56,1531693685,100,,,,4.86,-46.13,167.69,8.89
dalvik,is,90,1531688400,100,,,,3.6,65.97,-18.53,10.0
callaguip,ph,40,1531692000,100,,,,1,18.07,120.49,24.0
buon me thuot,vn,,,,,,,,,,
tezu,in,68,1531693686,86,,,,0.71,27.93,96.16,21.54
toftir,fo,,,,,,,,,,
sola,vu,0,1531693686,95,,,,4.26,-13.88,167.55,26.74
lavrentiya,ru,92,1531693686,97,,,,0.06,65.58,-170.99,5.74
kruisfontein,za,0,1531693686,100,,,,4.66,-34.0,24.73,11.69
boysun,uz,0,1531693687,60,,,,0.66,38.2,67.2,15.89
santa cruz,cr,75,1531692000,66,,,,6.2,10.26,-85.58,30.0
ahipara,nz,80,1531693687,100,,,,5.91,-35.17,173.16,13.19
jiroft,ir,,,,,,,,,,
hasaki,jp,32,1531690200,88,,,,2.1,35.73,140.83,27.0
poum,nc,0,1531693687,100,,,,5.11,-20.23,164.02,22.79
itacarambi,br,12,1531693558,43,,,,2.61,-15.1,-44.09,25.69
sulangan,ph,100,1531693687,100,,,,10.01,11.14,123.72,27.04
nuevo progreso,mx,20,1531693688,86,,,,5.41,17.14,-95.05,29.24
faanui,pf,92,1531693688,100,,,,6.21,-16.48,-151.75,25.39
phulji,pk,64,1531693688,72,,,,1.16,26.88,67.68,30.59
baykit,ru,0,1531693688,70,,,,2.86,61.68,96.39,8.89
lodwar,ke,56,1531693688,72,,,,2.16,3.12,35.6,23.34
xiongzhou,cn,0,1531688400,88,,,,3,32.34,118.83,27.0
monaragala,lk,48,1531693689,82,,,,4.21,6.87,81.35,26.89
haibowan,cn,,,,,,,,,,
filingue,ne,56,1531693689,94,,,,2.46,14.35,3.32,23.89
kokuy,ru,56,1531693689,90,,,,1.06,52.2,117.55,13.29
chapais,ca,20,1531692000,42,,,,4.1,49.78,-74.86,27.0
delijan,ir,56,1531693689,20,,,,1.61,33.99,50.69,21.39
kushiro,jp,75,1531691100,100,,,,0.5,43.11,144.15,20.0
severomuysk,ru,12,1531693690,97,,,,0.76,56.17,113.57,9.89
boguchany,ru,0,1531693690,81,,,,1.76,58.38,97.46,10.64
mehran,ir,0,1531693690,25,,,,2.91,33.12,46.17,28.84
codrington,ag,,,,,,,,,,
nome,us,40,1531691700,52,,,,3.6,30.04,-94.42,35.0
letham,gb,90,1531691400,93,,,,3.6,56.32,-3.12,17.0
la macarena,co,76,1531693690,96,,,,1.06,2.18,-73.79,21.74
marystown,ca,92,1531693691,95,,,,2.81,47.17,-55.16,14.14
iqaluit,ca,90,1531692000,100,,,,7.7,63.75,-68.52,4.0
isnos,co,88,1531693691,98,,,,0.96,1.94,-76.24,13.94
pemba,mz,75,1531688400,73,,,,7.2,-12.97,40.52,24.0
rocha,uy,68,1531693691,66,,,,3.76,-34.48,-54.34,11.49
morant bay,jm,20,1531692000,74,,,,11.3,17.88,-76.41,31.0
dutlwe,bw,44,1531693691,57,,,,6.56,-23.98,23.93,14.64
trairi,br,12,1531693692,99,,,,7.66,-3.28,-39.27,26.84
roura,gf,0,1531692000,78,,,,2.1,4.73,-52.33,27.0
palmer,us,75,1531691760,55,,,,2.1,61.6,-149.11,19.0
valparaiso,cl,0,1531692000,76,,,,5.1,-33.04,-71.63,16.0
tautira,pf,40,1531692000,78,,,,1,-17.73,-149.15,26.0
nola,cf,76,1531693692,96,,,,0.91,3.52,16.05,22.24
nguiu,au,,,,,,,,,,
salta,ar,0,1531688400,40,,,,4.1,-24.79,-65.41,24.0
bandar-e lengeh,ir,0,1531693693,100,,,,1.41,26.56,54.88,32.09
kawalu,id,48,1531693693,98,,,,0.71,-7.38,108.21,14.54
vostok,ru,92,1531693693,100,,,,0.76,46.45,135.83,17.64
umtata,za,44,1531692000,93,,,,2.1,-31.59,28.78,5.0
nichinan,jp,0,1531689000,94,,,,2.6,31.65,131.31,24.0
shenzhen,cn,40,1531692000,83,,,,5.1,22.54,114.05,28.0
stornoway,gb,80,1531691400,93,,,,2.6,58.21,-6.39,14.0
olga,ru,76,1531693694,91,,,,1.21,43.74,135.29,19.44
isangel,vu,32,1531693694,100,,,,7.61,-19.55,169.27,22.89
port augusta,au,88,1531692000,81,,,,2.6,-32.49,137.76,9.0
college,us,75,1531692420,63,,,,7.2,64.86,-147.8,18.0
saint-gilles,fr,0,1531692000,88,,,,1.5,43.68,4.43,24.0
el mante,mx,75,1531691280,50,,,,1.21,20.61,-103.43,26.0
tyukhtet,ru,0,1531693695,58,,,,3.91,56.54,89.31,14.49
mujiayingzi,cn,56,1531693695,95,,,,1.86,42.12,118.78,20.64
luderitz,na,44,1531693695,59,,,,7.81,-26.65,15.16,19.44
chunian,pk,12,1531693695,79,,,,3.76,30.96,73.98,29.34
bosaso,so,0,1531693696,77,,,,9.31,11.28,49.18,32.84
pangai,to,75,1531692000,83,,,,4.1,-19.8,-174.35,26.0
bolungarvik,is,,,,,,,,,,
tupik,ru,68,1531693696,93,,,,1.06,54.43,119.94,14.69
zhetybay,kz,,,,,,,,,,
tongren,cn,0,1531693696,94,,,,1.01,27.72,109.18,22.44
noshiro,jp,75,1531690800,94,,,,1,40.21,140.05,23.0
sidney,us,40,1531692900,47,,,,4.1,41.14,-102.98,26.0
saint-georges,gf,,,,,,,,,,
katobu,id,8,1531693697,100,,,,1.51,-4.94,122.53,23.74
puerto escondido,mx,20,1531690860,66,,,,3.1,15.86,-97.07,31.0
tahta,eg,0,1531693697,49,,,,1.06,26.77,31.5,24.14
los llanos de aridane,es,0,1531692000,60,,,,5.7,28.66,-17.92,22.0
roma,au,0,1531693698,68,,,,4.56,-26.57,148.79,3.84
tiebissou,ci,20,1531692000,94,,,,3.1,7.16,-5.23,24.0
murashi,ru,36,1531693698,95,,,,1.06,59.4,48.97,19.04
kenitra,ma,40,1531692000,82,,,,1.5,34.26,-6.57,18.0
hammerfest,no,75,1531691400,87,,,,1.5,70.66,23.68,12.0
mount darwin,zw,12,1531693698,72,,,,3.46,-16.77,31.58,15.14
santa cruz del sur,cu,68,1531693699,91,,,,2.21,20.71,-78.0,28.79
bay roberts,ca,90,1531692000,100,,,,6.2,47.58,-53.28,19.0
abu samrah,qa,,,,,,,,,,
xichang,cn,92,1531693699,99,,,,0.61,27.88,102.25,14.94
barrhead,ca,0,1531693699,63,,,,2.21,54.12,-114.4,24.19
campos novos,br,0,1531693700,60,,,,3.66,-27.4,-51.22,20.59
buenos aires,cr,92,1531693700,99,,,,1.16,9.17,-83.33,24.54
mayo,ca,75,1531692000,45,,,,2.1,63.59,-135.9,17.0
estacion coahuila,mx,1,1531691820,21,,,,3.1,32.19,-115.0,40.0
torbay,ca,90,1531692000,100,,,,6.2,47.66,-52.73,19.0
sungaipenuh,id,8,1531693700,95,,,,0.51,-2.08,101.38,16.89
ulverstone,au,92,1531693701,92,,,,2.51,-41.16,146.17,4.64
talnakh,ru,0,1531693701,67,,,,3.01,69.49,88.39,12.14
port moresby,pg,76,1531693701,97,,,,2.66,-9.47,147.16,25.49
beloha,mg,12,1531693701,85,,,,4.66,-25.17,45.06,17.39
venustiano carranza,mx,40,1531691280,38,,,,2.6,19.42,-99.11,23.0
cumana,ve,56,1531693701,78,,,,1.06,10.46,-64.17,25.49
luanda,ao,0,1531688400,83,,,,2.6,-8.83,13.24,21.0
ciudad bolivar,ve,8,1531693702,92,,,,2.51,8.12,-63.55,27.84
sakakah,sa,,,,,,,,,,
crab hill,bb,,,,,,,,,,
florianopolis,br,0,1531692000,88,,,,4.1,-27.6,-48.55,19.0
portales,us,1,1531689780,30,,,,7.2,34.19,-103.33,34.0
cabo san lucas,mx,40,1531691460,55,,,,5.7,22.89,-109.91,33.0
zhanaozen,kz,48,1531693702,68,,,,1.96,43.35,52.85,24.39
talcahuano,cl,0,1531688400,76,,,,5.1,-36.72,-73.12,12.0
armizonskoye,ru,0,1531693702,68,,,,3.66,55.95,67.67,15.34
steinbach,ca,20,1531692000,33,,,,12.3,49.53,-96.69,25.0
palma,es,20,1531692000,83,,,,2.1,39.57,2.65,27.0
borova,ua,0,1531690200,72,,,,2,50.18,30.1,18.0
prince rupert,ca,75,1531692000,77,,,,4.6,54.32,-130.32,16.0
san jose,bo,20,1531692000,61,,,,7.2,-17.94,-63.35,28.0
verkhnyaya inta,ru,8,1531693703,79,,,,1.26,65.99,60.32,18.24
